mdl,plot_label,group_vars,gr_var,direct_var,model,model_data,test_data,in_AIC,in_AICc,in_BIC,in_R2,in_RMSE,in_nRMSEq,in_nRMSEd,out_R2,out_RMSE,in_spear,out_spear,in_cover,out_cover,in_AUC,out_AUC
1,dm_,,gr_roll,growing,sm_mean_ct,model_dat_daily,NULL,-2169.615893851703,-2169.553628739902,-2157.0615934708603,0.17703950683682657,0.03566253936149221,0.6702821916471903,0.3544867130758372,-4.354058736945874,0.030555346479803226,0.48267778488847257,0.22417647058823528,0.09641921632526856,0.9558015513897867,0.7569767047982039,0.7765484560533262
2,dmw_,,gr_roll,growing,sm_mean_ct + var_era,model_dat_daily,NULL,-2182.4821399597845,-2182.3624950370618,-2161.1421543918727,0.19541550214290399,0.03520154109296744,0.6616384836343736,0.3498910420563264,-5.436476963315485,0.03192607942521486,0.47847715935927465,0.22417647058823528,0.1378629875356664,0.929541047188106,0.7551920557176737,0.7765484560533262
3,dmv_,,gr_roll,growing,sm_mean_ct * var_era,model_dat_daily,NULL,-2232.578142537361,-2232.371645951658,-2202.4524717824056,0.2501417333765854,0.03387608645017409,0.6371612838229757,0.33694672829363514,-4.5207822950860646,0.033196439099684595,0.5091080913703513,0.19511764705882353,0.16272493947978237,0.9332579185520362,0.7759337011153795,0.7695554490603191
4,dmsd_,,gr_roll,growing,sm_mean_ct + sm_sd_ct,model_dat_daily,NULL,-2172.5860084297383,-2172.481794313574,-2155.8469412552818,0.18111745253192088,0.03551958861799267,0.6676239909453987,0.35310204629165004,-4.498252717526606,0.03083463848512697,0.48897923207179417,0.23033823529411765,0.11084528875682707,0.9525694893341952,0.7632034003628454,0.7588131655501785
5,dmsdw_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct) + var_era,model_dat_daily,NULL,-2186.276292783183,-2186.1022618514226,-2160.751540421659,0.20017397827407934,0.03504128530441682,0.6586624357929742,0.34834343527123146,-5.581318971966113,0.03226916458395643,0.4856476825738421,0.22913235294117648,0.14961729049380545,0.9274402068519716,0.7625140608486165,0.7601640873556458
6,dmsdv_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct) * var_era,model_dat_daily,NULL,-2245.933437135105,-2245.5305916831735,-2202.8373143994672,0.2651698832113333,0.033408358540899734,0.6284798568209014,0.33242882630410053,-4.882892322244331,0.034338977226638596,0.5238153643199143,0.1787058823529412,0.20050764490342676,0.922753716871364,0.7912575746925963,0.7592074051489636
7,dmsk_,,gr_roll,growing,sm_mean_ct + sm_skew_ct,model_dat_daily,NULL,-2168.83839033671,-2168.7341762205456,-2152.0993231622515,0.17781242766044664,0.035599221200679966,0.6691188110592905,0.35386480369846035,-4.424165474531968,0.030768620137103516,0.4831722271695906,0.2308235294117647,0.11503742786788078,0.9546703296703297,0.7605814135711594,0.7666251677615314
8,dmskw_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era,model_dat_daily,NULL,-2181.8265538240603,-2181.6525228923,-2156.3018014625327,0.19627598382225386,0.03513655455491815,0.6604446787488798,0.34925419605358543,-5.475754160135732,0.03213044023568922,0.4815620441338864,0.22879411764705881,0.15575478498337905,0.929541047188106,0.7590314734559588,0.7665821236843964
9,dmskv_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) * var_era,model_dat_daily,NULL,-2230.424937549528,-2230.022092097596,-2187.328814813895,0.251463476104804,0.03374964650256967,0.6348208978462226,0.3357017036827383,-5.03476163949825,0.03422192466462917,0.5140606221881729,0.1584264705882353,0.202664108862231,0.9366515837104072,0.7814069815137625,0.7499335576040121
10,dmsb_,,gr_roll,growing,sm_mean_ct + sm_sd_ct + sm_skew_ct,model_dat_daily,NULL,-2171.1581406726073,-2171.001152886551,-2150.234306704535,0.18124994519300966,0.03547071366636359,0.6667342135054005,0.3526225334992975,-4.580824316834407,0.03112644272614438,0.492780740847523,0.23170588235294118,0.12841573458564096,0.9525694893341952,0.7675384987832565,0.7617761207046921
11,dmsbw_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct + sm_skew_ct) + var_era,model_dat_daily,NULL,-2184.857192266453,-2184.61788220285,-2155.147673111313,0.2003426144992268,0.03499222753173974,0.657768296552797,0.34786244178185166,-5.660233932015642,0.03254445386598883,0.4904792470655635,0.2343235294117647,0.16564850716562754,0.9284906270200388,0.767134677800437,0.7702321848425745
12,dmsbv_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct + sm_skew_ct) * var_era,model_dat_daily,NULL,-2244.9233677787943,-2244.2571779046743,-2188.856793062471,0.2678460498285261,0.03325016932056377,0.6255536545752678,0.3308748076786795,-5.815012260347915,0.03579558031114027,0.5338503772576909,0.14426470588235293,0.23553039901752146,0.926147382029735,0.7988223952231912,0.7567067807733392
13,dm_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs')",model_dat_daily,NULL,-2236.663788034011,-2236.335202350446,-2203.561746536683,0.28635469621097415,0.03307581562178597,0.6216510946505328,0.3285774011436371,-4.15123224033202,0.031244327663325872,0.5424492336302154,0.16608823529411765,0.1672362794133464,0.9461053652230123,0.814780177397668,0.7328059611744676
14,dmw_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + var_era",model_dat_daily,NULL,-2247.4407581998094,-2246.9926178881287,-2205.6212971776827,0.30035139910632386,0.032700258912830696,0.614625136672246,0.32481116924180903,-5.189031722286219,0.03408463216423116,0.5610218841683183,0.175,0.2002046716087678,0.9247737556561086,0.8232486248863577,0.7171825063464674
15,dmv_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs', by=var_era)",model_dat_daily,NULL,-2285.598841401282,-2284.7791042619965,-2223.885992554101,0.3405490792261486,0.03162505649302583,0.5948125384435764,0.31441639024564794,-266.5750584352748,0.10402816013576868,0.596692927491739,0.2086470588235294,0.23541455656886648,0.9212992889463478,0.8346060951490373,0.7599506599100755
16,dmsd_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_sd_ct, bs='cs')",model_dat_daily,NULL,-2241.7337847985,-2241.3322723721,-2203.016055713392,0.2933645571203549,0.03288303451542326,0.618083555110037,0.32671872468643837,-4.3321368069903725,0.03158928002854843,0.5482882343251951,0.1661764705882353,0.17273324554720856,0.945054945054945,0.8193863543715125,0.7326517863449682
17,dmsdw_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_sd_ct, bs='cs') + var_era",model_dat_daily,NULL,-2253.993328601975,-2253.4633932741654,-2207.2078271032,0.3083397338147705,0.032482900676180204,0.6106053635887239,0.32271817224558985,-5.330055988363972,0.034394357066541766,0.5685800255492863,0.17244117647058824,0.20281715260839725,0.9258241758241759,0.8285705245743819,0.7178633866133867
18,dmsdv_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs', by=var_era) + s(sm_sd_ct, bs='cs', by=var_era)",model_dat_daily,NULL,-2316.4350384743884,-2315.2164117157577,-2239.076497095034,0.3706475918622985,0.03078715203864027,0.5792718573750492,0.3063359962984621,-265.3386786557818,0.10381180457303921,0.6116779448704848,0.20902941176470588,0.24174952199077926,0.8908371040723982,0.8486691778090603,0.7640503165665503
19,dmsk_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs')",model_dat_daily,NULL,-2240.527626657368,-2239.9195101309,-2194.1767614413566,0.2975428193141396,0.03271670051478125,0.6150891776831072,0.32511881764301914,-4.3625447348001805,0.03195703143885003,0.5510817369985541,0.15088235294117647,0.19403398827097493,0.9441661279896574,0.8176904958191575,0.7379136375889622
20,dmskw_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",model_dat_daily,NULL,-2251.3435771124905,-2250.623060050941,-2198.345779585324,0.31042986006817247,0.032376494194958576,0.6087073932361589,0.3217187941771251,-5.43447417687424,0.034683967321901384,0.5679840726588786,0.1481470588235294,0.21937965010850558,0.9195216548157724,0.8253733749524763,0.7203660516972206
21,dmskv_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs', by=var_era) + s(sm_skew_ct, bs='cs', by=var_era)",model_dat_daily,NULL,-2311.770147843067,-2310.079570266683,-2220.716349383812,0.3716191901151056,0.03068735767016667,0.5775379479119739,0.30543728310971785,-269.2431796994175,0.10696780919772526,0.6158550596270989,0.1419264705882353,0.27437977890355497,0.8971396250808016,0.8400939616106793,0.7669403558202259
22,dmsb_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_sd_ct, bs='cs') + s(sm_skew_ct, bs='cs')",model_dat_daily,NULL,-2245.3518380601,-2244.6713670786753,-2196.9534859409378,0.3035450216340986,0.032555805670815605,0.612109993065049,0.3235673677144223,-4.588036093619029,0.032411173400849286,0.5569389049400298,0.14848529411764705,0.19319365898707488,0.9431157078215902,0.8233768221034415,0.7355559754098715
23,dmsbw_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_sd_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",model_dat_daily,NULL,-2257.0271342327055,-2256.2330655799424,-2201.7129252408795,0.3170274313635244,0.03219987963680857,0.6054570805251079,0.32002525888084943,-5.599327804932968,0.03508674345425849,0.5741686144373382,0.15201470588235294,0.21812503564642258,0.9205720749838396,0.8327271547453322,0.7167015659304621
24,dmsbv_cr_,,gr_roll,growing,"s(sm_mean_ct, bs='cs', by=var_era) + s(sm_sd_ct, bs='cs', by=var_era) + s(sm_skew_ct, bs='cs', by=var_era)",model_dat_daily,NULL,-2337.7137105020306,-2335.7179671925755,-2238.445898727327,0.3934510815678365,0.030072167560481814,0.5661860300658306,0.2995412842601244,-7.653252291372181,0.04025190250660753,0.6247784198141378,0.1552794117647059,0.26634832701283195,0.8910795087265676,0.8536744163221882,0.7369969721836604
